epoch,GPU_0_out_attention_loss,GPU_0_out_attention_precision,GPU_0_out_attention_recall,GPU_0_out_columns_categorical_accuracy,GPU_0_out_columns_loss,GPU_1_out_attention_loss,GPU_1_out_attention_precision,GPU_1_out_attention_recall,GPU_1_out_columns_categorical_accuracy,GPU_1_out_columns_loss,loss,val_GPU_0_out_attention_loss,val_GPU_0_out_attention_precision,val_GPU_0_out_attention_recall,val_GPU_0_out_columns_categorical_accuracy,val_GPU_0_out_columns_loss,val_GPU_1_out_attention_loss,val_GPU_1_out_attention_precision,val_GPU_1_out_attention_recall,val_GPU_1_out_columns_categorical_accuracy,val_GPU_1_out_columns_loss,val_loss
0,2.8302175998687744,0.6623811721801758,0.10926021635532379,0.40980255603790283,1.3184317350387573,2.4195024967193604,0.6627676486968994,0.10905014723539352,0.4115937352180481,1.2038708925247192,4.158750057220459,1.87916898727417,0.6887202858924866,0.3470360040664673,0.6255363821983337,0.8265624642372131,1.3799593448638916,0.6906815767288208,0.34413015842437744,0.6208451986312866,0.6624483466148376,2.551081895828247
1,1.2552955150604248,0.7881073355674744,0.48178529739379883,0.7177230715751648,0.6592951416969299,1.0578701496124268,0.7886149883270264,0.48285576701164246,0.7179951071739197,0.5730306506156921,1.880824089050293,1.055212378501892,0.8301123380661011,0.6317684054374695,0.7605928182601929,0.5049641132354736,0.8134669065475464,0.8273069262504578,0.632192850112915,0.7646368741989136,0.42920252680778503,1.494874358177185
2,0.8956748247146606,0.843696117401123,0.6181523203849792,0.7646499872207642,0.5071262121200562,0.7922414541244507,0.8423871397972107,0.6145362854003906,0.7634470462799072,0.45454755425453186,1.397415280342102,0.9256985187530518,0.8489532470703125,0.6804720163345337,0.7747675776481628,0.4617981016635895,0.7016247510910034,0.8491613268852234,0.6796181201934814,0.7757353186607361,0.3847843110561371,1.3150269985198975
3,0.8154235482215881,0.8537218570709229,0.6484322547912598,0.7692883014678955,0.4621238112449646,0.7221335172653198,0.8548298478126526,0.6487885117530823,0.7692577838897705,0.4171921908855438,1.274257779121399,0.8641348481178284,0.8523011207580566,0.6979213953018188,0.7855611443519592,0.4299476444721222,0.7169625759124756,0.8479467034339905,0.6863905191421509,0.7839423418045044,0.37435802817344666,1.2703814506530762
4,0.7719472646713257,0.8589855432510376,0.6642448902130127,0.7714800238609314,0.43855100870132446,0.6884841322898865,0.8598699569702148,0.6645424365997314,0.772160530090332,0.3984367847442627,1.2110538482666016,0.8786591291427612,0.8591006398200989,0.6977265477180481,0.7863680720329285,0.425006628036499,0.6769164204597473,0.857185959815979,0.6999310255050659,0.7786904573440552,0.3647362291812897,1.2492436170578003
5,0.7532880306243896,0.8618869781494141,0.672907829284668,0.7730173468589783,0.4278877377510071,0.6708820462226868,0.8616980314254761,0.6730546951293945,0.7715973854064941,0.3875391185283661,1.1806695461273193,0.8247348666191101,0.8617943525314331,0.7287145256996155,0.7844493985176086,0.4073452949523926,0.6750628352165222,0.8606940507888794,0.7217659950256348,0.7774898409843445,0.3553183078765869,1.2049437761306763
6,0.7260400652885437,0.8640584945678711,0.6835408806800842,0.7755587100982666,0.41470950841903687,0.6596243977546692,0.8640643954277039,0.6810728907585144,0.7740733623504639,0.3810034990310669,1.149681806564331,0.8040593862533569,0.8570605516433716,0.7238526344299316,0.7899495363235474,0.3985882103443146,0.6604262590408325,0.8573195338249207,0.7243225574493408,0.7843899726867676,0.34796378016471863,1.1773120164871216
7,0.7095476388931274,0.8677961230278015,0.6915311217308044,0.7770447134971619,0.4057491719722748,0.6407510042190552,0.8677694201469421,0.6909422874450684,0.776115894317627,0.3716939687728882,1.1211543083190918,0.8324158191680908,0.8721125721931458,0.739848256111145,0.7856640815734863,0.41187599301338196,0.657081127166748,0.8657128810882568,0.7304379940032959,0.7951880097389221,0.3441693186759949,1.1961157321929932
8,0.696556806564331,0.8699221014976501,0.6986953020095825,0.7778991460800171,0.3993210196495056,0.62689208984375,0.8701722025871277,0.6980176568031311,0.7776235938072205,0.36396369338035583,1.0993834733963013,0.7793419361114502,0.8722512125968933,0.7406273484230042,0.7920428514480591,0.38932105898857117,0.6576665639877319,0.8692977428436279,0.7380998730659485,0.7933705449104309,0.3484344482421875,1.1573069095611572
9,0.6912342309951782,0.8693600296974182,0.7001028060913086,0.778698742389679,0.39475369453430176,0.6188440322875977,0.8699113130569458,0.7003461122512817,0.7789649963378906,0.35852867364883423,1.0873594284057617,0.8189706802368164,0.8664208054542542,0.730671763420105,0.7866383194923401,0.40315285325050354,0.6253979802131653,0.8683173060417175,0.7329316735267639,0.7793906927108765,0.3351471722126007,1.1619418859481812
