epoch;GPU_0_out_attention_loss;GPU_0_out_attention_precision;GPU_0_out_attention_recall;GPU_0_out_columns_loss;GPU_1_out_attention_loss;GPU_1_out_attention_precision;GPU_1_out_attention_recall;GPU_1_out_columns_loss;GPU_2_out_attention_loss;GPU_2_out_attention_precision;GPU_2_out_attention_recall;GPU_2_out_columns_loss;GPU_3_out_attention_loss;GPU_3_out_attention_precision;GPU_3_out_attention_recall;GPU_3_out_columns_loss;loss;val_GPU_0_out_attention_loss;val_GPU_0_out_attention_precision;val_GPU_0_out_attention_recall;val_GPU_0_out_columns_loss;val_GPU_1_out_attention_loss;val_GPU_1_out_attention_precision;val_GPU_1_out_attention_recall;val_GPU_1_out_columns_loss;val_GPU_2_out_attention_loss;val_GPU_2_out_attention_precision;val_GPU_2_out_attention_recall;val_GPU_2_out_columns_loss;val_GPU_3_out_attention_loss;val_GPU_3_out_attention_precision;val_GPU_3_out_attention_recall;val_GPU_3_out_columns_loss;val_loss
0;0.01122354343533516;0.7706748247146606;0.3934911787509918;0.9816910624504089;0.01499831210821867;0.7721548676490784;0.39191725850105286;0.8989221453666687;0.014830403961241245;0.7724754810333252;0.3939446210861206;0.8996489644050598;0.014967136085033417;0.7723268270492554;0.39286643266677856;0.8975579142570496;0.12845535576343536;0.004317367449402809;0.9071183204650879;0.7669100165367126;0.5080246925354004;0.0055474103428423405;0.9065874814987183;0.759989857673645;0.4397255778312683;0.005466733127832413;0.9048811793327332;0.7573939561843872;0.4460323452949524;0.00557012390345335;0.9045655727386475;0.7608404159545898;0.44266292452812195;0.05721249431371689
1;0.004091096110641956;0.9143336415290833;0.7713853716850281;0.4639630615711212;0.0049462513998150826;0.9142244458198547;0.7710755467414856;0.4197724163532257;0.0050533306784927845;0.9143614768981934;0.7713068127632141;0.4165126085281372;0.005011583678424358;0.9151560664176941;0.7742461562156677;0.4169765114784241;0.053064778447151184;0.0034604996908456087;0.9279942512512207;0.8247933983802795;0.4017678201198578;0.004236710257828236;0.9259666800498962;0.8131344318389893;0.38327085971832275;0.0038457398768514395;0.9318956732749939;0.8255966305732727;0.36583927273750305;0.004003837238997221;0.9276749491691589;0.8162966966629028;0.3755172789096832;0.045763786882162094
2;0.0031870712991803885;0.9356937408447266;0.8236924409866333;0.3988948464393616;0.0038973945192992687;0.9353924989700317;0.8238344192504883;0.3670487403869629;0.0038518926594406366;0.93524569272995;0.8229301571846008;0.3685346245765686;0.00391490338370204;0.935522198677063;0.8236300349235535;0.36849135160446167;0.04461359232664108;0.0028562278021126986;0.9453359842300415;0.84571772813797;0.3734821677207947;0.0037277634255588055;0.9428447484970093;0.8426046371459961;0.34729766845703125;0.003674386767670512;0.9453076124191284;0.8497704267501831;0.33900538086891174;0.0035856456961482763;0.9440155029296875;0.8431736826896667;0.3474904000759125;0.041712671518325806
3;0.002840257016941905;0.9438989162445068;0.8451936841011047;0.3635590374469757;0.003409553086385131;0.9436654448509216;0.8450573682785034;0.34110844135284424;0.0034330328926444054;0.9437629580497742;0.8452383875846863;0.33994197845458984;0.0034619311336427927;0.9434245824813843;0.8436145782470703;0.34190863370895386;0.04061208665370941;0.002506307326257229;0.948345422744751;0.8626677393913269;0.34566789865493774;0.0031212097965180874;0.9479320645332336;0.8662419319152832;0.31974393129348755;0.0030927935149520636;0.9489268064498901;0.8650481104850769;0.32670825719833374;0.0031174581963568926;0.9485176801681519;0.8668822646141052;0.3300073742866516;0.0380435474216938
4;0.0025924367364495993;0.9477518200874329;0.8567747473716736;0.34612494707107544;0.003128847572952509;0.9480705857276917;0.8586485385894775;0.32170993089675903;0.003141215303912759;0.9486563205718994;0.8595267534255981;0.3198224604129791;0.0031297383829951286;0.9478898644447327;0.8570409417152405;0.3203730583190918;0.03791309520602226;0.0023528742603957653;0.9549146294593811;0.8793253302574158;0.3259998559951782;0.00317642861045897;0.9505765438079834;0.8670059442520142;0.31310412287712097;0.002818315988406539;0.9543571472167969;0.8761617541313171;0.29772958159446716;0.002722764853388071;0.9548771977424622;0.8774970173835754;0.2923610806465149;0.03543289750814438
5;0.0024956478737294674;0.9503138661384583;0.8638309240341187;0.33091574907302856;0.0030168441589921713;0.9510701894760132;0.8662071228027344;0.3077440559864044;0.002943528350442648;0.9508381485939026;0.866220235824585;0.30877885222435;0.0030139998998492956;0.9504808783531189;0.8650174140930176;0.30818530917167664;0.03635316714644432;0.0021474692039191723;0.9555361270904541;0.880419909954071;0.317577064037323;0.002660691272467375;0.9549673795700073;0.8784764409065247;0.2992141544818878;0.0029231752268970013;0.9544322490692139;0.8753585815429688;0.30273422598838806;0.002638976788148284;0.9566773176193237;0.879196047782898;0.2940148115158081;0.034433700144290924
6;0.0023021420929580927;0.9534831643104553;0.8731352090835571;0.31666019558906555;0.0029091143514961004;0.9524914026260376;0.8694242238998413;0.29898151755332947;0.0027959037106484175;0.9531497955322266;0.8719654679298401;0.29792189598083496;0.0028334050439298153;0.9534395933151245;0.8717928528785706;0.2974701225757599;0.034844446927309036;0.0020150381606072187;0.9592236280441284;0.892569363117218;0.3028782606124878;0.002725681522861123;0.95732182264328;0.8864843845367432;0.2931194007396698;0.0026848360430449247;0.957831621170044;0.8888665437698364;0.28826427459716797;0.0027258582413196564;0.9578254222869873;0.8851625919342041;0.2908329665660858;0.033450283110141754
7;0.002181500429287553;0.9554135799407959;0.8809671401977539;0.3076370358467102;0.002707110717892647;0.9552693367004395;0.8793109059333801;0.2894919514656067;0.0026776401791721582;0.9555622935295105;0.8798528909683228;0.28801339864730835;0.002690200926735997;0.9552049040794373;0.8792782425880432;0.2910583019256592;0.03357541933655739;0.0020803993102163076;0.957234799861908;0.8935379981994629;0.308073490858078;0.0024476037360727787;0.9572787880897522;0.8954378962516785;0.2851160168647766;0.002589482581242919;0.9572339653968811;0.8945852518081665;0.29043644666671753;0.00239196652546525;0.957169234752655;0.8944410085678101;0.286014586687088;0.03271206095814705
8;0.0020974993240088224;0.9566984176635742;0.8850750923156738;0.30050960183143616;0.002576949307695031;0.9566866755485535;0.8847590684890747;0.2825142443180084;0.0025877407751977444;0.9574124217033386;0.887539267539978;0.2790472209453583;0.002564678667113185;0.9566417932510376;0.8848450183868408;0.28061264753341675;0.03248399496078491;0.0019423672929406166;0.9597748517990112;0.9007591605186462;0.28584760427474976;0.0024760314263403416;0.9573455452919006;0.8974596858024597;0.27936479449272156;0.0024528580252081156;0.9599859118461609;0.904909074306488;0.28172567486763;0.002221092116087675;0.9588791728019714;0.9001752138137817;0.26828351616859436;0.031214941293001175
9;0.0020460770465433598;0.9580454230308533;0.8891688585281372;0.2922382652759552;0.0025180522352457047;0.9580583572387695;0.8892435431480408;0.2743518650531769;0.002489060629159212;0.9578216671943665;0.8891964554786682;0.27575913071632385;0.0025081238709390163;0.9582560658454895;0.8895880579948425;0.27518776059150696;0.03172093629837036;0.001812927657738328;0.9624549150466919;0.9044879078865051;0.28579533100128174;0.0021309133153408766;0.9616422653198242;0.9032938480377197;0.2611674666404724;0.002456615213304758;0.9611138105392456;0.9011570811271667;0.2693617045879364;0.0024415352381765842;0.959951639175415;0.9003437161445618;0.2801738679409027;0.030595120042562485
