epoch,GPU_0_out_attention_loss,GPU_0_out_attention_precision,GPU_0_out_attention_recall,GPU_0_out_columns_loss,GPU_1_out_attention_loss,GPU_1_out_attention_precision,GPU_1_out_attention_recall,GPU_1_out_columns_loss,loss,val_GPU_0_out_attention_loss,val_GPU_0_out_attention_precision,val_GPU_0_out_attention_recall,val_GPU_0_out_columns_loss,val_GPU_1_out_attention_loss,val_GPU_1_out_attention_precision,val_GPU_1_out_attention_recall,val_GPU_1_out_columns_loss,val_loss
0,0.016530761495232582,0.609898567199707,0.0910177230834961,1.298047423362732,0.02343229576945305,0.6090404391288757,0.09090722352266312,1.3088661432266235,0.0913022980093956,0.014881076291203499,0.7251973748207092,0.1704496592283249,1.2892625331878662,0.020773870870471,0.7266348600387573,0.17019090056419373,1.2265429496765137,0.08525789529085159
1,0.01408112607896328,0.7390918135643005,0.16511957347393036,1.1454403400421143,0.019129332154989243,0.7400222420692444,0.1654358208179474,1.0704541206359863,0.07686430960893631,0.012763328850269318,0.7965908050537109,0.2958461046218872,1.008098840713501,0.017132878303527832,0.787649393081665,0.28521257638931274,0.9183929562568665,0.06782814860343933
2,0.012603208422660828,0.7761108875274658,0.26125863194465637,0.9332054257392883,0.01651330664753914,0.7764591574668884,0.26237156987190247,0.8346221446990967,0.06389091908931732,0.010502057150006294,0.8115249872207642,0.42460885643959045,0.8620729446411133,0.013277851976454258,0.8084416389465332,0.42079558968544006,0.7603963613510132,0.055753663182258606
3,0.01095220260322094,0.8006820678710938,0.3484705686569214,0.8320011496543884,0.013834448531270027,0.800129771232605,0.3463708460330963,0.7484110593795776,0.05589894950389862,0.009799694642424583,0.8311360478401184,0.4562190771102905,0.8309035301208496,0.011756805703043938,0.8366288542747498,0.47803014516830444,0.7256606221199036,0.05225664749741554
4,0.009894024580717087,0.8191099762916565,0.402940034866333,0.79632967710495,0.01253251638263464,0.8194466829299927,0.4030969440937042,0.7119613885879517,0.05214359611272812,0.009017976932227612,0.8525232076644897,0.4985019266605377,0.8068904280662537,0.011009247973561287,0.8543591499328613,0.5026779770851135,0.7156269550323486,0.05007702484726906
5,0.009170068427920341,0.8351026177406311,0.4497656524181366,0.7548024654388428,0.011343445628881454,0.8345855474472046,0.4473973214626312,0.6810652017593384,0.048820436000823975,0.008518836461007595,0.8511818051338196,0.5613411068916321,0.758553683757782,0.010152113623917103,0.8525590300559998,0.5555574893951416,0.6874834299087524,0.047218240797519684
6,0.008556238375604153,0.8480404615402222,0.49358776211738586,0.7197819948196411,0.01056939922273159,0.8465567827224731,0.48996537923812866,0.6596102714538574,0.04633115604519844,0.00794268399477005,0.8711926341056824,0.5766589045524597,0.7454959154129028,0.009492647834122181,0.8679308891296387,0.5730207562446594,0.6702058911323547,0.04540065675973892
7,0.008036085404455662,0.8562399744987488,0.5203036069869995,0.6956735253334045,0.00995573028922081,0.8559808135032654,0.5187090635299683,0.639153778553009,0.04432842507958412,0.007164984941482544,0.8821502923965454,0.6033645868301392,0.715684711933136,0.00909093301743269,0.8786798119544983,0.5917511582374573,0.6581624746322632,0.04340774565935135
8,0.007775599602609873,0.8618188500404358,0.5367100834846497,0.6842551231384277,0.009589153341948986,0.8620297908782959,0.5362451076507568,0.6303779482841492,0.04330999776721001,0.007273104041814804,0.8848235011100769,0.6032875776290894,0.7160858511924744,0.008523654192686081,0.8868176937103271,0.6086800694465637,0.6379355788230896,0.04256126284599304
9,0.00769349979236722,0.8647912740707397,0.5440605878829956,0.6765059232711792,0.009467408992350101,0.8646197319030762,0.5421479940414429,0.6267173290252686,0.042882174253463745,0.00725444545969367,0.8841608762741089,0.5967209935188293,0.7183746695518494,0.008614440448582172,0.8879707455635071,0.6040665507316589,0.6326403617858887,0.04257174953818321
