epoch,GPU_0_out_attention_loss,GPU_0_out_attention_precision,GPU_0_out_attention_recall,GPU_0_out_columns_loss,GPU_1_out_attention_loss,GPU_1_out_attention_precision,GPU_1_out_attention_recall,GPU_1_out_columns_loss,loss,val_GPU_0_out_attention_loss,val_GPU_0_out_attention_precision,val_GPU_0_out_attention_recall,val_GPU_0_out_columns_loss,val_GPU_1_out_attention_loss,val_GPU_1_out_attention_precision,val_GPU_1_out_attention_recall,val_GPU_1_out_columns_loss,val_loss
0,0.016080547124147415,0.17412731051445007,0.0010110727744176984,0.957074761390686,0.016203157603740692,0.17923082411289215,0.0009965738281607628,0.9818187952041626,0.07041586935520172,0.01325942762196064,0.38111379742622375,0.004148612264543772,0.469629168510437,0.012552826665341854,0.6251126527786255,0.0101553313434124,0.5356631875038147,0.04540185257792473
1,0.01187781523913145,0.6011430025100708,0.025701278820633888,0.588306725025177,0.012093771249055862,0.5981295108795166,0.02598721906542778,0.605751097202301,0.04737331345677376,0.010974436067044735,0.6447765231132507,0.0500250868499279,0.3858167231082916,0.010868010111153126,0.7174972891807556,0.0550290048122406,0.32263073325157166,0.035574544221162796
2,0.010674092918634415,0.661369264125824,0.06840993463993073,0.48639845848083496,0.010767743922770023,0.6647841334342957,0.0673954039812088,0.4915115535259247,0.0405711866915226,0.009711130522191525,0.8409401774406433,0.07628007978200912,0.3365641236305237,0.009849796071648598,0.7702008485794067,0.08903276175260544,0.2451314628124237,0.03080361895263195
3,0.009697839617729187,0.6817441582679749,0.10384280234575272,0.43326738476753235,0.009860891848802567,0.6821041703224182,0.10431293398141861,0.4420471787452698,0.036673806607723236,0.00844723079353571,0.7923756241798401,0.12400148063898087,0.2598576545715332,0.008582452312111855,0.8050384521484375,0.156102254986763,0.25603967905044556,0.02700703591108322
4,0.009009117260575294,0.7016668319702148,0.13596190512180328,0.4056779444217682,0.00919597689062357,0.6995639204978943,0.13481052219867706,0.41331353783607483,0.034220803529024124,0.008315549232065678,0.7889483571052551,0.16988536715507507,0.26058870553970337,0.007700541988015175,0.8306356072425842,0.15799853205680847,0.2379879653453827,0.025667302310466766
5,0.008345985785126686,0.7246705293655396,0.17242349684238434,0.3823232650756836,0.008473503403365612,0.7273347973823547,0.171882763504982,0.38499701023101807,0.031829483807086945,0.006920325104147196,0.8424222469329834,0.24705755710601807,0.2138064056634903,0.0073233977891504765,0.8652114272117615,0.20943087339401245,0.19143153727054596,0.0220636073499918
6,0.0078824358060956,0.740897536277771,0.19850794970989227,0.36686986684799194,0.008039272390305996,0.7414951324462891,0.19695772230625153,0.3712979853153229,0.030366629362106323,0.007051114924252033,0.8514809608459473,0.21964427828788757,0.2083166092634201,0.0071900165639817715,0.8232412338256836,0.21486957371234894,0.20464715361595154,0.02221558429300785
7,0.007521508261561394,0.7471675872802734,0.2196965217590332,0.3559059202671051,0.007692359387874603,0.7468039989471436,0.22026993334293365,0.3587159216403961,0.029202023521065712,0.006822273600846529,0.8649171590805054,0.24205394089221954,0.2129804491996765,0.006127521395683289,0.8308649659156799,0.3115001916885376,0.20202158391475677,0.02099083922803402
8,0.007296040654182434,0.7498020529747009,0.23771177232265472,0.3471423387527466,0.007421583402901888,0.7529016137123108,0.23787043988704681,0.34960266947746277,0.028358200564980507,0.00644948473200202,0.8534610271453857,0.27420300245285034,0.17574019730091095,0.006291449535638094,0.8962361216545105,0.2386309951543808,0.1810496747493744,0.019621912389993668
9,0.00711046764627099,0.7524240016937256,0.2557080388069153,0.3416115641593933,0.007268288638442755,0.7523886561393738,0.25534600019454956,0.3456744849681854,0.027836905792355537,0.006946530658751726,0.8213136196136475,0.21569857001304626,0.18951836228370667,0.006422283127903938,0.834193229675293,0.2664427161216736,0.19247883558273315,0.020741382613778114
10,0.006899354513734579,0.7600470185279846,0.26896458864212036,0.33152732253074646,0.007032868452370167,0.7577863335609436,0.27170830965042114,0.3358859717845917,0.027001863345503807,0.005822919309139252,0.9006360173225403,0.27582207322120667,0.15842999517917633,0.005381995812058449,0.8584601283073425,0.3828579783439636,0.18708615005016327,0.017891140654683113
